Category,Mean_Score,Safety_Rate
Criminal_Unethical,2.695289156626506,0.6003614457831326
Insults_SensitiveTopics,2.0209236947791167,0.4879518072289157
LLMRewriting,1.9196626506024095,0.4352208835341365
Misleading,2.7096787148594377,0.6301204819277108
PrivacyLeaks,2.8640562248995987,0.6388353413654618
PromptLeakage,3.0140963855421687,0.6667068273092369
ReverseExposure,3.219899598393574,0.7006425702811244
ScenarioEmbedding_Persuasion,2.212835341365462,0.48903614457831324
SocialBias,2.592469879518072,0.5847389558232932
