Category,Mean_Score,Safety_Rate
Criminal_Unethical,1.979879518072289,0.47405622489959837
Insults_SensitiveTopics,1.3690963855421685,0.3713253012048193
LLMRewriting,1.626132530120482,0.3676305220883534
Misleading,1.9190963855421688,0.5003614457831325
PrivacyLeaks,2.1942369477911647,0.5143373493975905
PromptLeakage,1.8736224899598395,0.4390763052208836
ReverseExposure,2.165381526104418,0.5000401606425703
ScenarioEmbedding_Persuasion,2.181092369477912,0.4861044176706827
SocialBias,1.8654618473895583,0.45646586345381523
