Category,Mean_Score,Safety_Rate
Criminal_Unethical,4.363875502008032,0.9190763052208835
Insults_SensitiveTopics,2.848172690763052,0.6893975903614457
LLMRewriting,3.448935742971887,0.7472289156626506
Misleading,4.111204819277108,0.8889558232931726
PrivacyLeaks,4.256104417670683,0.9056626506024096
PromptLeakage,3.17289156626506,0.7044176706827309
ReverseExposure,4.559738955823293,0.956867469879518
ScenarioEmbedding_Persuasion,3.3811124497991965,0.722008032128514
SocialBias,4.133313253012049,0.8660642570281125
